@relation FTrain1



@attribute population real
@attribute unemploymentrate real
@attribute area real
@attribute percapitagdp real 
@attribute crimeindex {High,Medium,Low}




@data



29939848,12,916445,2300,High
30162115,14,619745,656,High
30405675,13,1226344,6700,Medium
3789654,6,645321,2310,Medium
1287753,12,112090,4537,Medium
174874837,10,765370,1005,Medium
6090646,21,231422,3218,Medium
199567677,12,876322,8519,Medium
41070934,11,224961,7621,Medium
158763838,7,55598,3404,Medium
28739829,10,127316,17065,Low
2868380,13,4244,8158,Low
29248943,26,496443,5675,Low
13824463,20,42042,3489,Low
41769726,15,1068296,13567,Low
1227505,18,1980,10005,Low
9958648,11,11815,14689,Low
2147585,7,315678,6790,Low
257898765,13,928645,2204,High
1346783,10,108976,4200,Medium
206789272,11,850987,11500,Medium
25678262,8,405678,7567,Low
234786363,10,125627,15080,Low
350987630,17,1208979,14505,Low



