@relation intest2



@attribute CrimeType {BATTERY,NARCOTICS,'OTHER OFFENSE','CRIMINAL DAMAGE','WEAPONS VIOLATION',THEFT,'PUBLIC PEACE VIOLATION',ROBBERY,'INTERFERENCE WITH PUBLIC OFFICER',GAMBLING,'CRIMINAL TRESPASS',ASSAULT,'MOTOR VEHICLE THEFT',PROSTITUTION,'OFFENSE INVOLVING CHILDREN','DECEPTIVE PRACTICE','LIQUOR LAW VIOLATION'}

@attribute Description {'DOMESTIC BATTERY SIMPLE','POSS: HEROIN(BRN/TAN)','POSS: CANNABIS 30GMS OR LESS','VIOLATE ORDER OF PROTECTION',SIMPLE,'TO PROPERTY','POSS: CANNABIS MORE THAN 30GMS','UNLAWFUL POSS OF HANDGUN','PAROLE VIOLATION','POSS: HEROIN(WHITE)','POSS: CRACK','RETAIL THEFT','MANU/DEL:CANNABIS 10GM OR LESS','SOLICIT NARCOTICS ON PUBLICWAY','RECKLESS CONDUCT','ARMED: HANDGUN','OBSTRUCTING IDENTIFICATION','MANU/DEL:CANNABIS OVER 10 GMS',GAME/DICE,'POSS: BARBITUATES','ALTER/FORGE PRESCRIPTION','TO LAND','STRONGARM - NO WEAPON','POSSESSION OF DRUG EQUIPMENT','$500 AND UNDER','THEFT/RECOVERY: AUTOMOBILE','TO VEHICLE','FALSE/STOLEN/ALTERED TRP','PRO EMP HANDS NO/MIN INJURY','MANU/DELIVER: HEROIN (WHITE)',AUTOMOBILE,MANU/DELIVER:CRACK,'LICENSE VIOLATION','UNLAWFUL USE/SALE AIR RIFLE','AGGRAVATED: HANDGUN','TO RESIDENCE','FOUND SUSPECT NARCOTICS','POSS: PCP','SOLICIT FOR PROSTITUTE','VEHICULAR HIJACKING','POSS: COCAINE','POSS: LOOK-ALIKE DRUGS','ATTEMPT: STRONGARM-NO WEAPON','OBSTRUCTING JUSTICE','ENDANGERING LIFE/HEALTH CHILD','VEHICLE TITLE/REG OFFENSE','CRIMINAL DEFACEMENT','THEFT OF LOST/MISLAID PROP','TO STATE SUP LAND','AGGRAVATED:KNIFE/CUTTING INSTR','OVER $500','OTHER VIOLATION','GUN OFFENDER: ANNUAL REGISTRATION','ATTEMPT THEFT','VIOLATION OF CIVIL NO CONTACT ORDER','HARASSMENT BY TELEPHONE',FORGERY,'AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON','AGG PRO.EMP: OTHER DANG WEAPON','LIQUOR LICENSE VIOLATION','AGGRAVATED: OTHER DANG WEAPON','THEFT OF LABOR/SERVICES','POSS: SYNTHETIC DRUGS','POSS: HALLUCINOGENS','UNLAWFUL USE OF RECORDED SOUND','AGG PO HANDS NO/MIN INJURY','UNLAWFUL USE HANDGUN'}

@attribute Location {APARTMENT,'RESIDENCE PORCH/HALLWAY','SCHOOL, PRIVATE, BUILDING',RESIDENCE,STREET,SIDEWALK,ALLEY,'DEPARTMENT STORE','SMALL RETAIL STORE','SCHOOL, PUBLIC, GROUNDS','VEHICLE NON-COMMERCIAL',OTHER,'VACANT LOT/LAND','GAS STATION','PARKING LOT/GARAGE(NON.RESID.)','RESIDENTIAL YARD (FRONT/BACK)','GROCERY FOOD STORE','CTA BUS','DRUG STORE','CHA PARKING LOT/GROUNDS','SCHOOL, PUBLIC, BUILDING',RESTAURANT,RESIDENCE-GARAGE,'PARK PROPERTY','NURSING HOME/RETIREMENT HOME','ABANDONED BUILDING','JAIL / LOCK-UP FACILITY','BAR OR TAVERN','HOSPITAL BUILDING/GROUNDS','CHA HALLWAY/STAIRWELL/ELEVATOR','CTA BUS STOP',HOTEL/MOTEL,'OTHER RAILROAD PROP / TRAIN DEPOT','SPORTS ARENA/STADIUM','TAVERN/LIQUOR STORE','OTHER COMMERCIAL TRANSPORTATION','CTA PLATFORM','AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA','CTA TRAIN','COMMERCIAL / BUSINESS OFFICE','CONVENIENCE STORE','CTA STATION'}

@attribute Latitude numeric

@attribute Longitude numeric



@data


BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.796613,-87.660421
NARCOTICS,'POSS: HEROIN(BRN/TAN)','RESIDENCE PORCH/HALLWAY',41.8605,-87.69568
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS','SCHOOL, PRIVATE, BUILDING',41.924357,-87.757213
'OTHER OFFENSE','VIOLATE ORDER OF PROTECTION','RESIDENCE PORCH/HALLWAY',41.906275,-87.65988
BATTERY,SIMPLE,RESIDENCE,41.846302282,-87.72106
'CRIMINAL DAMAGE','TO PROPERTY',APARTMENT,41.835396,-87.651076
NARCOTICS,'POSS: CANNABIS MORE THAN 30GMS',STREET,41.87676,-87.640428
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN',STREET,41.839222,-87.578381
'OTHER OFFENSE','PAROLE VIOLATION',STREET,41.770422,-87.660632
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.863589,-87.703075
NARCOTICS,'POSS: HEROIN(WHITE)',STREET,41.8662,-87.723124
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',ALLEY,41.754443,-87.566288
NARCOTICS,'POSS: CRACK',SIDEWALK,41.887985,-87.72174
THEFT,'RETAIL THEFT','DEPARTMENT STORE',41.926287,-87.785548
NARCOTICS,'MANU/DEL:CANNABIS 10GM OR LESS',STREET,41.876228,-87.721597
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.890977,-87.711301
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.895423,-87.720381
NARCOTICS,'SOLICIT NARCOTICS ON PUBLICWAY',SIDEWALK,41.859555,-87.747156
THEFT,'RETAIL THEFT','SMALL RETAIL STORE',41.89792,-87.689025
NARCOTICS,'SOLICIT NARCOTICS ON PUBLICWAY',SIDEWALK,41.888663,-87.748666
'PUBLIC PEACE VIOLATION','RECKLESS CONDUCT','SCHOOL, PUBLIC, GROUNDS',41.856861,-87.667307
ROBBERY,'ARMED: HANDGUN',SIDEWALK,41.666086,-87.63188
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS','VEHICLE NON-COMMERCIAL',41.874587,-87.709037
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.903144,-87.756843
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN',OTHER,41.779073,-87.6156
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING IDENTIFICATION','VACANT LOT/LAND',41.761823,-87.645173
NARCOTICS,'POSS: HEROIN(BRN/TAN)',STREET,41.839384,-87.724417
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN',STREET,41.971832,-87.609519
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.884289,-87.612319
NARCOTICS,'POSS: HEROIN(WHITE)',STREET,41.917144,-87.688224
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.91811704,-87.610377
NARCOTICS,'MANU/DEL:CANNABIS OVER 10 GMS',SIDEWALK,41.978463,-87.6755787
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.796702,-87.676387
GAMBLING,GAME/DICE,SIDEWALK,41.851803,-87.642851
'OTHER OFFENSE','PAROLE VIOLATION',STREET,41.876969,-87.627452
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN',ALLEY,42.0392238,-87.649148
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.8525,-87.600365
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING IDENTIFICATION',STREET,41.866255,-87.6618968
NARCOTICS,'POSS: BARBITUATES',STREET,41.838503,-87.625544
'OTHER OFFENSE','PAROLE VIOLATION',STREET,41.768534,-87.665505
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.807097,-87.5928732
NARCOTICS,'ALTER/FORGE PRESCRIPTION',OTHER,41.93172,-87.658679
